invoice_no,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_amount,date,day,month,year,month/year,quarter,week
I763011,Female,23,Food & Beverage,4,20.92,Debit Card,14/07/2022,Kanyon,83.68,2022-07-14,14,7,2022,2022-07,3,28
I114520,Male,60,Cosmetics,5,203.3,Credit Card,24/08/2022,Metropol AVM,1016.5,2022-08-24,24,8,2022,2022-08,3,34
I272496,Female,24,Clothing,3,900.24,Credit Card,11/2/2021,Metropol AVM,2700.7200000000003,2021-02-11,11,2,2021,2021-02,1,6
I547530,Female,28,Clothing,4,1200.32,Credit Card,19/07/2021,Metrocity,4801.28,2021-07-19,19,7,2021,2021-07,3,29
I129524,Female,54,Clothing,4,1200.32,Cash,4/7/2021,Zorlu Center,4801.28,2021-07-04,4,7,2021,2021-07,3,26
I794374,Female,21,Clothing,2,600.16,Debit Card,7/1/2023,Emaar Square Mall,1200.32,2023-01-07,7,1,2023,2023-01,1,1
I303876,Female,55,Clothing,5,1500.4,Debit Card,24/12/2022,Metropol AVM,7502.0,2022-12-24,24,12,2022,2022-12,4,51
I923019,Male,23,Books,1,15.15,Cash,18/06/2021,Kanyon,15.15,2021-06-18,18,6,2021,2021-06,2,24
I302099,Male,42,Clothing,5,1500.4,Credit Card,28/08/2021,Kanyon,7502.0,2021-08-28,28,8,2021,2021-08,3,34
I145795,Female,37,Cosmetics,4,162.64,Cash,13/09/2021,Forum Istanbul,650.56,2021-09-13,13,9,2021,2021-09,3,37
I150538,Female,27,Shoes,3,1800.51,Credit Card,10/7/2022,Metrocity,5401.53,2022-07-10,10,7,2022,2022-07,3,27
I258516,Female,23,Clothing,4,1200.32,Cash,1/12/2021,Forum Istanbul,4801.28,2021-12-01,1,12,2021,2021-12,4,48
I231789,Female,36,Clothing,2,600.16,Cash,16/07/2021,Cevahir AVM,1200.32,2021-07-16,16,7,2021,2021-07,3,28
I210653,Female,53,Souvenir,3,35.19,Credit Card,22/09/2022,Kanyon,105.57,2022-09-22,22,9,2022,2022-09,3,38
I334523,Female,35,Souvenir,3,35.19,Cash,10/10/2022,Mall of Istanbul,105.57,2022-10-10,10,10,2022,2022-10,4,41
I124023,Female,59,Food & Beverage,3,15.69,Debit Card,28/08/2021,Kanyon,47.07,2021-08-28,28,8,2021,2021-08,3,34
I786225,Male,61,Clothing,4,1200.32,Debit Card,12/4/2022,Metropol AVM,4801.28,2022-04-12,12,4,2022,2022-04,2,15
I268595,Male,25,Shoes,3,1800.51,Cash,6/1/2021,Mall of Istanbul,5401.53,2021-01-06,6,1,2021,2021-01,1,1
I121932,Female,28,Clothing,3,900.24,Debit Card,20/05/2021,Metropol AVM,2700.7200000000003,2021-05-20,20,5,2021,2021-05,2,20
I126713,Female,48,Toys,1,35.84,Credit Card,28/03/2021,Kanyon,35.84,2021-03-28,28,3,2021,2021-03,1,12
I198374,Female,49,Technology,2,2100.0,Cash,16/03/2022,Mall of Istanbul,4200.0,2022-03-16,16,3,2022,2022-03,1,11
I318140,Female,49,Shoes,5,3000.85,Credit Card,17/04/2021,Mall of Istanbul,15004.25,2021-04-17,17,4,2021,2021-04,2,15
I640326,Female,56,Shoes,4,2400.68,Credit Card,4/1/2023,Forum Istanbul,9602.72,2023-01-04,4,1,2023,2023-01,1,1
I261561,Female,26,Cosmetics,1,40.66,Cash,14/03/2022,Mall of Istanbul,40.66,2022-03-14,14,3,2022,2022-03,1,11
I980355,Female,38,Toys,5,179.2,Debit Card,23/01/2021,Metropol AVM,896.0,2021-01-23,23,1,2021,2021-01,1,3
I128385,Male,26,Clothing,5,1500.4,Credit Card,20/04/2021,Forum Istanbul,7502.0,2021-04-20,20,4,2021,2021-04,2,16
I264468,Female,60,Books,3,45.45,Cash,10/8/2022,Forum Istanbul,136.35000000000002,2022-08-10,10,8,2022,2022-08,3,32
I133989,Female,50,Cosmetics,3,121.98,Cash,8/2/2023,Cevahir AVM,365.94,2023-02-08,8,2,2023,2023-02,1,6
I290559,Male,61,Clothing,1,300.08,Cash,10/2/2023,Kanyon,300.08,2023-02-10,10,2,2023,2023-02,1,6
I172263,Female,66,Food & Beverage,2,10.46,Credit Card,3/2/2022,Emaar Square Mall,20.92,2022-02-03,3,2,2022,2022-02,1,5
I339856,Female,47,Toys,3,107.52,Cash,7/1/2022,Istinye Park,322.56,2022-01-07,7,1,2022,2022-01,1,1
I454888,Male,44,Toys,5,179.2,Cash,1/2/2022,Metropol AVM,896.0,2022-02-01,1,2,2022,2022-02,1,5
I224598,Female,31,Clothing,2,600.16,Credit Card,5/2/2022,Metrocity,1200.32,2022-02-05,5,2,2022,2022-02,1,5
I259896,Female,54,Clothing,5,1500.4,Cash,30/11/2022,Istinye Park,7502.0,2022-11-30,30,11,2022,2022-11,4,48
I141047,Male,36,Cosmetics,3,121.98,Cash,14/02/2023,Mall of Istanbul,365.94,2023-02-14,14,2,2023,2023-02,1,7
I224943,Female,32,Shoes,3,1800.51,Cash,11/12/2021,Emaar Square Mall,5401.53,2021-12-11,11,12,2021,2021-12,4,49
I205124,Female,22,Books,4,60.6,Cash,6/4/2022,Metrocity,242.4,2022-04-06,6,4,2022,2022-04,2,14
I266660,Female,51,Cosmetics,4,162.64,Debit Card,5/2/2022,Forum Istanbul,650.56,2022-02-05,5,2,2022,2022-02,1,5
I315849,Female,20,Food & Beverage,3,15.69,Credit Card,2/1/2022,Emaar Square Mall,47.07,2022-01-02,2,1,2022,2022-01,1,52
I305598,Male,59,Food & Beverage,1,5.23,Cash,14/04/2021,Viaport Outlet,5.23,2021-04-14,14,4,2021,2021-04,2,15
I237319,Female,22,Clothing,5,1500.4,Debit Card,14/03/2022,Forum Istanbul,7502.0,2022-03-14,14,3,2022,2022-03,1,11
I107272,Male,55,Food & Beverage,3,15.69,Credit Card,22/12/2022,Metropol AVM,47.07,2022-12-22,22,12,2022,2022-12,4,51
I309040,Female,18,Clothing,1,300.08,Cash,28/02/2021,Forum Istanbul,300.08,2021-02-28,28,2,2021,2021-02,1,8
I227652,Male,18,Cosmetics,1,40.66,Credit Card,29/04/2021,Viaport Outlet,40.66,2021-04-29,29,4,2021,2021-04,2,17
I158327,Female,29,Books,2,30.3,Credit Card,2/12/2022,Mall of Istanbul,60.6,2022-12-02,2,12,2022,2022-12,4,48
I134158,Male,25,Cosmetics,4,162.64,Cash,20/09/2022,Cevahir AVM,650.56,2022-09-20,20,9,2022,2022-09,3,38
I143348,Female,66,Clothing,3,900.24,Cash,20/11/2021,Emaar Square Mall,2700.7200000000003,2021-11-20,20,11,2021,2021-11,4,46
I205468,Female,46,Cosmetics,2,81.32,Cash,13/09/2021,Metrocity,162.64,2021-09-13,13,9,2021,2021-09,3,37
I102241,Male,40,Cosmetics,3,121.98,Debit Card,16/09/2021,Metropol AVM,365.94,2021-09-16,16,9,2021,2021-09,3,37
I297458,Male,27,Technology,5,5250.0,Cash,8/6/2021,Viaport Outlet,26250.0,2021-06-08,8,6,2021,2021-06,2,23
I117584,Male,66,Clothing,5,1500.4,Credit Card,21/11/2022,Metrocity,7502.0,2022-11-21,21,11,2022,2022-11,4,47
I233204,Female,28,Technology,2,2100.0,Debit Card,24/07/2022,Metropol AVM,4200.0,2022-07-24,24,7,2022,2022-07,3,29
I611947,Female,43,Shoes,5,3000.85,Cash,6/1/2022,Metropol AVM,15004.25,2022-01-06,6,1,2022,2022-01,1,1
I306998,Female,21,Clothing,4,1200.32,Debit Card,2/9/2021,Kanyon,4801.28,2021-09-02,2,9,2021,2021-09,3,35
I555114,Male,65,Clothing,1,300.08,Cash,1/3/2022,Zorlu Center,300.08,2022-03-01,1,3,2022,2022-03,1,9
I161164,Female,37,Cosmetics,2,81.32,Credit Card,24/04/2021,Kanyon,162.64,2021-04-24,24,4,2021,2021-04,2,16
I175138,Male,51,Shoes,2,1200.34,Cash,21/06/2022,Mall of Istanbul,2400.68,2022-06-21,21,6,2022,2022-06,2,25
I122713,Female,55,Cosmetics,2,81.32,Credit Card,25/10/2022,Kanyon,162.64,2022-10-25,25,10,2022,2022-10,4,43
I357441,Female,28,Technology,1,1050.0,Credit Card,11/2/2023,Kanyon,1050.0,2023-02-11,11,2,2023,2023-02,1,6
I678995,Male,63,Food & Beverage,5,26.15,Credit Card,7/4/2021,Istinye Park,130.75,2021-04-07,7,4,2021,2021-04,2,14
I430127,Female,67,Books,1,15.15,Debit Card,4/10/2021,Kanyon,15.15,2021-10-04,4,10,2021,2021-10,4,40
I212322,Female,20,Food & Beverage,5,26.15,Cash,15/01/2021,Kanyon,130.75,2021-01-15,15,1,2021,2021-01,1,2
I144407,Male,66,Clothing,5,1500.4,Credit Card,13/03/2022,Metrocity,7502.0,2022-03-13,13,3,2022,2022-03,1,10
I234968,Female,54,Clothing,2,600.16,Debit Card,20/02/2023,Istinye Park,1200.32,2023-02-20,20,2,2023,2023-02,1,8
I747964,Male,55,Clothing,4,1200.32,Debit Card,16/01/2022,Metrocity,4801.28,2022-01-16,16,1,2022,2022-01,1,2
I182102,Female,54,Souvenir,1,11.73,Credit Card,3/10/2021,Cevahir AVM,11.73,2021-10-03,3,10,2021,2021-10,4,39
I705623,Female,24,Food & Beverage,5,26.15,Credit Card,13/04/2021,Metrocity,130.75,2021-04-13,13,4,2021,2021-04,2,15
I959825,Female,69,Cosmetics,4,162.64,Debit Card,22/12/2022,Kanyon,650.56,2022-12-22,22,12,2022,2022-12,4,51
I588444,Female,54,Clothing,2,600.16,Cash,28/10/2021,Zorlu Center,1200.32,2021-10-28,28,10,2021,2021-10,4,43
I189120,Female,20,Technology,5,5250.0,Credit Card,1/2/2022,Metropol AVM,26250.0,2022-02-01,1,2,2022,2022-02,1,5
I177889,Female,36,Food & Beverage,5,26.15,Credit Card,14/01/2023,Istinye Park,130.75,2023-01-14,14,1,2023,2023-01,1,2
I144302,Female,24,Food & Beverage,3,15.69,Debit Card,12/3/2022,Metropol AVM,47.07,2022-03-12,12,3,2022,2022-03,1,10
I326118,Male,36,Shoes,5,3000.85,Credit Card,7/2/2022,Kanyon,15004.25,2022-02-07,7,2,2022,2022-02,1,6
I144611,Male,20,Shoes,4,2400.68,Credit Card,25/06/2022,Metrocity,9602.72,2022-06-25,25,6,2022,2022-06,2,25
I133097,Female,55,Clothing,3,900.24,Credit Card,19/07/2022,Emaar Square Mall,2700.7200000000003,2022-07-19,19,7,2022,2022-07,3,29
I640359,Female,43,Shoes,5,3000.85,Cash,28/09/2022,Metrocity,15004.25,2022-09-28,28,9,2022,2022-09,3,39
I179088,Female,38,Shoes,2,1200.34,Cash,21/10/2021,Metrocity,2400.68,2021-10-21,21,10,2021,2021-10,4,42
I201308,Female,43,Food & Beverage,2,10.46,Credit Card,19/03/2022,Kanyon,20.92,2022-03-19,19,3,2022,2022-03,1,11
I320158,Female,40,Clothing,4,1200.32,Debit Card,6/10/2022,Kanyon,4801.28,2022-10-06,6,10,2022,2022-10,4,40
I309111,Female,50,Souvenir,5,58.65,Credit Card,25/04/2021,Metrocity,293.25,2021-04-25,25,4,2021,2021-04,2,16
I311979,Female,41,Cosmetics,3,121.98,Cash,16/01/2021,Istinye Park,365.94,2021-01-16,16,1,2021,2021-01,1,2
I213608,Male,45,Food & Beverage,4,20.92,Cash,16/03/2022,Kanyon,83.68,2022-03-16,16,3,2022,2022-03,1,11
I171710,Female,67,Toys,1,35.84,Cash,3/11/2022,Mall of Istanbul,35.84,2022-11-03,3,11,2022,2022-11,4,44
I417820,Male,40,Books,4,60.6,Cash,17/10/2022,Kanyon,242.4,2022-10-17,17,10,2022,2022-10,4,42
I211363,Female,67,Clothing,1,300.08,Credit Card,5/5/2022,Istinye Park,300.08,2022-05-05,5,5,2022,2022-05,2,18
I969252,Female,46,Clothing,3,900.24,Debit Card,13/02/2023,Kanyon,2700.7200000000003,2023-02-13,13,2,2023,2023-02,1,7
I178668,Male,67,Clothing,3,900.24,Credit Card,8/3/2023,Mall of Istanbul,2700.7200000000003,2023-03-08,8,3,2023,2023-03,1,10
I244081,Male,61,Cosmetics,2,81.32,Debit Card,17/04/2021,Metropol AVM,162.64,2021-04-17,17,4,2021,2021-04,2,15
I308400,Male,65,Shoes,1,600.17,Cash,30/05/2022,Kanyon,600.17,2022-05-30,30,5,2022,2022-05,2,22
I315578,Male,54,Clothing,5,1500.4,Debit Card,3/11/2021,Metropol AVM,7502.0,2021-11-03,3,11,2021,2021-11,4,44
I164088,Female,38,Clothing,5,1500.4,Cash,1/6/2022,Istinye Park,7502.0,2022-06-01,1,6,2022,2022-06,2,22
I825160,Male,21,Technology,5,5250.0,Cash,13/12/2021,Istinye Park,26250.0,2021-12-13,13,12,2021,2021-12,4,50
I110723,Female,30,Clothing,1,300.08,Credit Card,21/08/2021,Mall of Istanbul,300.08,2021-08-21,21,8,2021,2021-08,3,33
I604312,Female,36,Toys,1,35.84,Cash,3/1/2022,Mall of Istanbul,35.84,2022-01-03,3,1,2022,2022-01,1,1
I180616,Male,22,Clothing,2,600.16,Credit Card,2/12/2021,Metropol AVM,1200.32,2021-12-02,2,12,2021,2021-12,4,48
I125917,Female,55,Souvenir,3,35.19,Debit Card,10/8/2021,Metrocity,105.57,2021-08-10,10,8,2021,2021-08,3,32
I284634,Male,38,Books,4,60.6,Cash,3/11/2021,Emaar Square Mall,242.4,2021-11-03,3,11,2021,2021-11,4,44
I182363,Male,66,Cosmetics,1,40.66,Credit Card,16/09/2021,Kanyon,40.66,2021-09-16,16,9,2021,2021-09,3,37
I231794,Female,26,Toys,1,35.84,Cash,23/03/2022,Viaport Outlet,35.84,2022-03-23,23,3,2022,2022-03,1,12
I140048,Female,54,Souvenir,2,23.46,Cash,23/07/2022,Mall of Istanbul,46.92,2022-07-23,23,7,2022,2022-07,3,29
I111475,Male,64,Technology,4,4200.0,Cash,29/03/2022,Emaar Square Mall,16800.0,2022-03-29,29,3,2022,2022-03,1,13
I306404,Female,23,Cosmetics,3,121.98,Debit Card,28/10/2021,Emaar Square Mall,365.94,2021-10-28,28,10,2021,2021-10,4,43
I181480,Female,32,Clothing,1,300.08,Credit Card,20/08/2021,Mall of Istanbul,300.08,2021-08-20,20,8,2021,2021-08,3,33
I146818,Male,21,Shoes,1,600.17,Debit Card,7/7/2022,Mall of Istanbul,600.17,2022-07-07,7,7,2022,2022-07,3,27
I545400,Female,69,Shoes,4,2400.68,Cash,6/3/2022,Istinye Park,9602.72,2022-03-06,6,3,2022,2022-03,1,9
I331791,Female,58,Clothing,5,1500.4,Credit Card,6/8/2022,Metrocity,7502.0,2022-08-06,6,8,2022,2022-08,3,31
I196697,Female,61,Cosmetics,3,121.98,Credit Card,7/6/2022,Istinye Park,365.94,2022-06-07,7,6,2022,2022-06,2,23
I603606,Male,68,Food & Beverage,5,26.15,Cash,21/06/2021,Mall of Istanbul,130.75,2021-06-21,21,6,2021,2021-06,2,25
I929714,Male,65,Clothing,1,300.08,Credit Card,18/07/2022,Kanyon,300.08,2022-07-18,18,7,2022,2022-07,3,29
I576721,Female,44,Clothing,5,1500.4,Debit Card,20/06/2021,Mall of Istanbul,7502.0,2021-06-20,20,6,2021,2021-06,2,24
I272582,Male,25,Souvenir,4,46.92,Credit Card,23/05/2022,Forum Istanbul,187.68,2022-05-23,23,5,2022,2022-05,2,21
I180320,Female,22,Cosmetics,5,203.3,Credit Card,22/08/2022,Viaport Outlet,1016.5,2022-08-22,22,8,2022,2022-08,3,34
I734495,Female,51,Cosmetics,1,40.66,Credit Card,19/10/2021,Metropol AVM,40.66,2021-10-19,19,10,2021,2021-10,4,42
I188484,Female,62,Cosmetics,2,81.32,Credit Card,14/11/2022,Emaar Square Mall,162.64,2022-11-14,14,11,2022,2022-11,4,46
I112101,Male,27,Toys,2,71.68,Credit Card,8/11/2021,Zorlu Center,143.36,2021-11-08,8,11,2021,2021-11,4,45
I274472,Female,46,Clothing,2,600.16,Credit Card,10/10/2022,Metrocity,1200.32,2022-10-10,10,10,2022,2022-10,4,41
I854095,Female,21,Shoes,3,1800.51,Cash,2/11/2021,Zorlu Center,5401.53,2021-11-02,2,11,2021,2021-11,4,44
I331692,Male,54,Cosmetics,4,162.64,Debit Card,20/11/2022,Metrocity,650.56,2022-11-20,20,11,2022,2022-11,4,46
I930001,Female,57,Shoes,5,3000.85,Cash,10/6/2021,Kanyon,15004.25,2021-06-10,10,6,2021,2021-06,2,23
I317864,Female,67,Food & Beverage,4,20.92,Debit Card,7/4/2021,Istinye Park,83.68,2021-04-07,7,4,2021,2021-04,2,14
I204956,Female,57,Books,4,60.6,Debit Card,10/1/2023,Kanyon,242.4,2023-01-10,10,1,2023,2023-01,1,2
I247324,Male,53,Clothing,1,300.08,Credit Card,24/05/2021,Forum Istanbul,300.08,2021-05-24,24,5,2021,2021-05,2,21
I272190,Female,39,Technology,5,5250.0,Cash,8/8/2021,Metrocity,26250.0,2021-08-08,8,8,2021,2021-08,3,31
I273169,Female,22,Clothing,2,600.16,Cash,26/10/2021,Metrocity,1200.32,2021-10-26,26,10,2021,2021-10,4,43
I982936,Female,42,Shoes,5,3000.85,Cash,15/05/2022,Forum Istanbul,15004.25,2022-05-15,15,5,2022,2022-05,2,19
I255600,Female,31,Cosmetics,2,81.32,Credit Card,8/1/2023,Mall of Istanbul,162.64,2023-01-08,8,1,2023,2023-01,1,1
I336678,Female,26,Food & Beverage,5,26.15,Debit Card,24/09/2022,Kanyon,130.75,2022-09-24,24,9,2022,2022-09,3,38
I467830,Female,18,Clothing,4,1200.32,Credit Card,21/04/2021,Viaport Outlet,4801.28,2021-04-21,21,4,2021,2021-04,2,16
I294151,Male,67,Clothing,3,900.24,Cash,14/01/2022,Kanyon,2700.7200000000003,2022-01-14,14,1,2022,2022-01,1,2
I333393,Male,29,Clothing,2,600.16,Credit Card,7/1/2021,Forum Istanbul,1200.32,2021-01-07,7,1,2021,2021-01,1,1
I771837,Male,52,Clothing,1,300.08,Cash,1/10/2021,Zorlu Center,300.08,2021-10-01,1,10,2021,2021-10,4,39
I355915,Female,56,Cosmetics,4,162.64,Cash,11/3/2021,Mall of Istanbul,650.56,2021-03-11,11,3,2021,2021-03,1,10
I303959,Female,44,Cosmetics,1,40.66,Credit Card,6/7/2022,Metropol AVM,40.66,2022-07-06,6,7,2022,2022-07,3,27
I304210,Female,27,Clothing,1,300.08,Debit Card,21/06/2021,Metropol AVM,300.08,2021-06-21,21,6,2021,2021-06,2,25
I559862,Female,21,Food & Beverage,5,26.15,Cash,26/07/2021,Metropol AVM,130.75,2021-07-26,26,7,2021,2021-07,3,30
I225183,Male,40,Books,3,45.45,Cash,6/4/2021,Mall of Istanbul,136.35000000000002,2021-04-06,6,4,2021,2021-04,2,14
I262052,Female,47,Books,1,15.15,Cash,24/01/2021,Zorlu Center,15.15,2021-01-24,24,1,2021,2021-01,1,3
I106933,Female,30,Food & Beverage,4,20.92,Debit Card,19/03/2021,Metrocity,83.68,2021-03-19,19,3,2021,2021-03,1,11
I549968,Female,42,Souvenir,3,35.19,Credit Card,17/02/2021,Istinye Park,105.57,2021-02-17,17,2,2021,2021-02,1,7
I157701,Female,32,Clothing,1,300.08,Debit Card,1/2/2022,Metrocity,300.08,2022-02-01,1,2,2022,2022-02,1,5
I220047,Female,52,Clothing,5,1500.4,Credit Card,21/06/2021,Forum Istanbul,7502.0,2021-06-21,21,6,2021,2021-06,2,25
I337879,Female,53,Clothing,3,900.24,Debit Card,2/10/2022,Kanyon,2700.7200000000003,2022-10-02,2,10,2022,2022-10,4,39
I108123,Female,25,Toys,5,179.2,Credit Card,13/04/2022,Istinye Park,896.0,2022-04-13,13,4,2022,2022-04,2,15
I221129,Male,57,Clothing,2,600.16,Debit Card,26/10/2021,Kanyon,1200.32,2021-10-26,26,10,2021,2021-10,4,43
I202047,Male,25,Food & Beverage,1,5.23,Debit Card,18/10/2021,Istinye Park,5.23,2021-10-18,18,10,2021,2021-10,4,42
I172602,Female,63,Cosmetics,4,162.64,Credit Card,28/04/2021,Metrocity,650.56,2021-04-28,28,4,2021,2021-04,2,17
I660381,Female,43,Clothing,1,300.08,Debit Card,8/3/2022,Metropol AVM,300.08,2022-03-08,8,3,2022,2022-03,1,10
I540128,Male,43,Cosmetics,3,121.98,Debit Card,13/07/2022,Kanyon,365.94,2022-07-13,13,7,2022,2022-07,3,28
I279473,Female,37,Toys,1,35.84,Credit Card,4/3/2021,Metrocity,35.84,2021-03-04,4,3,2021,2021-03,1,9
I221768,Male,36,Technology,1,1050.0,Debit Card,28/11/2022,Mall of Istanbul,1050.0,2022-11-28,28,11,2022,2022-11,4,48
I340095,Female,34,Clothing,4,1200.32,Credit Card,15/09/2021,Mall of Istanbul,4801.28,2021-09-15,15,9,2021,2021-09,3,37
I111942,Female,52,Souvenir,2,23.46,Debit Card,5/5/2021,Cevahir AVM,46.92,2021-05-05,5,5,2021,2021-05,2,18
I765118,Female,48,Clothing,3,900.24,Credit Card,29/04/2022,Kanyon,2700.7200000000003,2022-04-29,29,4,2022,2022-04,2,17
I871450,Male,19,Toys,3,107.52,Cash,23/05/2021,Kanyon,322.56,2021-05-23,23,5,2021,2021-05,2,20
I250229,Male,60,Food & Beverage,1,5.23,Debit Card,29/10/2022,Metropol AVM,5.23,2022-10-29,29,10,2022,2022-10,4,43
I197634,Female,32,Clothing,4,1200.32,Cash,22/10/2022,Istinye Park,4801.28,2022-10-22,22,10,2022,2022-10,4,42
I205428,Male,53,Shoes,1,600.17,Credit Card,5/7/2022,Kanyon,600.17,2022-07-05,5,7,2022,2022-07,3,27
I937077,Male,19,Clothing,4,1200.32,Cash,4/3/2021,Istinye Park,4801.28,2021-03-04,4,3,2021,2021-03,1,9
I256923,Female,42,Technology,3,3150.0,Cash,17/06/2022,Cevahir AVM,9450.0,2022-06-17,17,6,2022,2022-06,2,24
I322711,Male,50,Souvenir,4,46.92,Cash,10/2/2021,Cevahir AVM,187.68,2021-02-10,10,2,2021,2021-02,1,6
I509605,Female,43,Shoes,2,1200.34,Cash,25/11/2021,Viaport Outlet,2400.68,2021-11-25,25,11,2021,2021-11,4,47
I170497,Male,20,Food & Beverage,3,15.69,Credit Card,21/03/2022,Kanyon,47.07,2022-03-21,21,3,2022,2022-03,1,12
I158701,Female,34,Clothing,5,1500.4,Credit Card,10/12/2021,Kanyon,7502.0,2021-12-10,10,12,2021,2021-12,4,49
I175548,Male,31,Shoes,2,1200.34,Cash,27/10/2021,Mall of Istanbul,2400.68,2021-10-27,27,10,2021,2021-10,4,43
I393320,Female,69,Technology,1,1050.0,Cash,19/04/2021,Mall of Istanbul,1050.0,2021-04-19,19,4,2021,2021-04,2,16
I244249,Male,45,Cosmetics,4,162.64,Credit Card,21/09/2022,Emaar Square Mall,650.56,2022-09-21,21,9,2022,2022-09,3,38
I310439,Male,36,Clothing,1,300.08,Credit Card,9/2/2021,Istinye Park,300.08,2021-02-09,9,2,2021,2021-02,1,6
I220291,Female,68,Souvenir,3,35.19,Credit Card,12/12/2022,Kanyon,105.57,2022-12-12,12,12,2022,2022-12,4,50
I171246,Female,63,Clothing,4,1200.32,Credit Card,29/11/2021,Metrocity,4801.28,2021-11-29,29,11,2021,2021-11,4,48
I146644,Female,60,Clothing,4,1200.32,Debit Card,17/10/2021,Kanyon,4801.28,2021-10-17,17,10,2021,2021-10,4,41
I698568,Male,47,Clothing,3,900.24,Credit Card,5/11/2021,Cevahir AVM,2700.7200000000003,2021-11-05,5,11,2021,2021-11,4,44
I314621,Female,48,Cosmetics,5,203.3,Debit Card,8/1/2022,Kanyon,1016.5,2022-01-08,8,1,2022,2022-01,1,1
I862313,Male,55,Clothing,3,900.24,Credit Card,1/10/2021,Istinye Park,2700.7200000000003,2021-10-01,1,10,2021,2021-10,4,39
I232456,Female,47,Toys,5,179.2,Credit Card,2/12/2022,Metrocity,896.0,2022-12-02,2,12,2022,2022-12,4,48
I120618,Female,52,Toys,1,35.84,Cash,12/12/2022,Kanyon,35.84,2022-12-12,12,12,2022,2022-12,4,50
I237791,Female,46,Clothing,2,600.16,Credit Card,16/12/2022,Zorlu Center,1200.32,2022-12-16,16,12,2022,2022-12,4,50
I189513,Female,51,Clothing,4,1200.32,Debit Card,29/12/2022,Istinye Park,4801.28,2022-12-29,29,12,2022,2022-12,4,52
I297737,Male,50,Shoes,3,1800.51,Debit Card,4/8/2022,Kanyon,5401.53,2022-08-04,4,8,2022,2022-08,3,31
I709472,Female,46,Clothing,2,600.16,Cash,6/6/2021,Kanyon,1200.32,2021-06-06,6,6,2021,2021-06,2,22
I109391,Female,30,Food & Beverage,2,10.46,Credit Card,10/2/2022,Kanyon,20.92,2022-02-10,10,2,2022,2022-02,1,6
I248461,Female,59,Clothing,2,600.16,Cash,9/12/2022,Forum Istanbul,1200.32,2022-12-09,9,12,2022,2022-12,4,49
I178157,Female,41,Clothing,3,900.24,Cash,2/3/2023,Kanyon,2700.7200000000003,2023-03-02,2,3,2023,2023-03,1,9
I245315,Female,28,Cosmetics,2,81.32,Cash,23/11/2021,Metropol AVM,162.64,2021-11-23,23,11,2021,2021-11,4,47
I125747,Female,20,Clothing,3,900.24,Debit Card,2/11/2022,Emaar Square Mall,2700.7200000000003,2022-11-02,2,11,2022,2022-11,4,44
I628232,Female,35,Shoes,3,1800.51,Credit Card,12/6/2021,Viaport Outlet,5401.53,2021-06-12,12,6,2021,2021-06,2,23
I300146,Male,25,Clothing,1,300.08,Cash,25/07/2021,Viaport Outlet,300.08,2021-07-25,25,7,2021,2021-07,3,29
I150124,Male,26,Shoes,4,2400.68,Cash,8/12/2021,Kanyon,9602.72,2021-12-08,8,12,2021,2021-12,4,49
I183810,Female,49,Clothing,4,1200.32,Cash,5/6/2022,Mall of Istanbul,4801.28,2022-06-05,5,6,2022,2022-06,2,22
I149031,Female,21,Food & Beverage,1,5.23,Cash,8/4/2022,Mall of Istanbul,5.23,2022-04-08,8,4,2022,2022-04,2,14
I453922,Male,53,Toys,5,179.2,Cash,11/9/2022,Metropol AVM,896.0,2022-09-11,11,9,2022,2022-09,3,36
I291502,Female,58,Clothing,2,600.16,Credit Card,19/12/2022,Mall of Istanbul,1200.32,2022-12-19,19,12,2022,2022-12,4,51
I779514,Male,51,Shoes,1,600.17,Cash,31/08/2021,Mall of Istanbul,600.17,2021-08-31,31,8,2021,2021-08,3,35
I207338,Female,25,Toys,3,107.52,Cash,3/6/2022,Kanyon,322.56,2022-06-03,3,6,2022,2022-06,2,22
I164472,Male,40,Souvenir,4,46.92,Cash,21/10/2021,Metrocity,187.68,2021-10-21,21,10,2021,2021-10,4,42
I254931,Male,53,Food & Beverage,5,26.15,Cash,17/09/2021,Kanyon,130.75,2021-09-17,17,9,2021,2021-09,3,37
I320921,Male,28,Cosmetics,4,162.64,Cash,1/11/2021,Istinye Park,650.56,2021-11-01,1,11,2021,2021-11,4,44
I130859,Female,48,Clothing,5,1500.4,Cash,4/6/2022,Kanyon,7502.0,2022-06-04,4,6,2022,2022-06,2,22
I790856,Female,21,Cosmetics,3,121.98,Debit Card,14/06/2021,Mall of Istanbul,365.94,2021-06-14,14,6,2021,2021-06,2,24
I266090,Female,66,Books,1,15.15,Cash,1/6/2021,Istinye Park,15.15,2021-06-01,1,6,2021,2021-06,2,22
I462992,Female,28,Clothing,2,600.16,Debit Card,27/10/2022,Istinye Park,1200.32,2022-10-27,27,10,2022,2022-10,4,43
I431344,Male,46,Books,3,45.45,Debit Card,3/4/2022,Kanyon,136.35000000000002,2022-04-03,3,4,2022,2022-04,2,13
I250150,Female,21,Cosmetics,5,203.3,Cash,31/08/2022,Istinye Park,1016.5,2022-08-31,31,8,2022,2022-08,3,35
I158902,Female,59,Food & Beverage,2,10.46,Debit Card,17/12/2021,Metrocity,20.92,2021-12-17,17,12,2021,2021-12,4,50
